event_date,event_name,event_location,r_fighter,b_fighter,weight_class,gender,total_rounds,is_title_bout,referee,winner,method,finish_round,time_sec,total_fight_time_sec,r_height,b_height,height_diff,r_reach,b_reach,reach_diff,r_ape_index,b_ape_index,ape_index_diff,r_stance,b_stance,r_weight,b_weight,weight_diff,r_date_of_birth,b_date_of_birth,r_age_at_event,b_age_at_event,age_at_event_diff,r_current_age,b_current_age,current_age_diff,r_wins,b_wins,wins_diff,r_losses,b_losses,losses_diff,r_draws,b_draws,draws_diff,r_win_loss_ratio,b_win_loss_ratio,win_loss_ratio_diff,r_sig_str,b_sig_str,sig_str_diff,r_sig_str_att,b_sig_str_att,sig_str_att_diff,r_sig_str_acc,b_sig_str_acc,sig_str_acc_diff,r_str,b_str,str_diff,r_str_att,b_str_att,str_att_diff,r_str_acc,b_str_acc,str_acc_diff,r_kd,b_kd,kd_diff,r_head,b_head,head_diff,r_body,b_body,body_diff,r_leg,b_leg,leg_diff,r_distance,b_distance,distance_diff,r_clinch,b_clinch,clinch_diff,r_ground,b_ground,ground_diff,r_td,b_td,td_diff,r_td_att,b_td_att,td_att_diff,r_td_acc,b_td_acc,td_acc_diff,r_sub_att,b_sub_att,sub_att_diff,r_rev,b_rev,rev_diff,r_ctrl_sec,b_ctrl_sec,ctrl_sec_diff,r_pro_SLpM,b_pro_SLpM,pro_SLpM_diff,r_pro_sig_str_acc,b_pro_sig_str_acc,pro_sig_str_acc_diff,r_pro_SApM,b_pro_SApM,pro_SApM_diff,r_pro_str_def,b_pro_str_def,pro_str_def_diff,r_pro_td_avg,b_pro_td_avg,pro_td_avg_diff,r_pro_td_acc,b_pro_td_acc,pro_td_acc_diff,r_pro_td_def,b_pro_td_def,pro_td_def_diff,r_pro_sub_avg,b_pro_sub_avg,pro_sub_avg_diff,r_name,b_name
1/4/2014,UFC Fight Night: Saffiedine vs Lim,"Singapore, Singapore",Tarec Saffiedine,Hyun Gyu Lim,Welterweight,Men,5,0,Leon Roberts,Red,Decision,5,300,1500,70,75,-5,70,77,-7,1,1.03,-0.03,Switch,Orthodox,170,170,0,9/6/1986,1/16/1985,27,28,-1,38,40,-2,16,13,3,7,7,0,0,1,-1,2.29,1.86,0.43,120,122,-2,202,277,-75,0.59,0.44,0.15,166,126,40,248,282,-34,0.67,0.45,0.22,3,0,3,0.5,0.75,-0.25,0.1,0.22,-0.12,0.39,0.02,0.37,0.94,0.97,-0.03,0,0,0,0.05,0.01,0.04,1,0,1,3,0,3,0.33,0,0.33,1,1,0,0,0,0,379,19,360,4.05,4.45,-0.4,0.47,0.41,0.06,3.06,5.07,-2.01,0.62,0.51,0.11,0.52,0.23,0.29,0.36,1,-0.64,0.84,0.73,0.11,0.1,0.2,-0.1,Tarec Saffiedine,Hyun Gyu Lim
1/4/2014,UFC Fight Night: Saffiedine vs Lim,"Singapore, Singapore",Tatsuya Kawajiri,Sean Soriano,Featherweight,Men,3,0,Steve Perceval,Red,Submission,2,50,350,67,69,-2,69,70,-1,1.03,1.01,0.02,Orthodox,Orthodox,145,145,0,5/8/1978,10/6/1989,35,24,11,47,35,12,36,14,22,11,8,3,2,0,2,3.27,1.75,1.52,32,19,13,36,26,10,0.89,0.73,0.16,62,23,39,66,30,36,0.94,0.77,0.17,0,0,0,0.93,0.73,0.2,0,0.15,-0.15,0.06,0.1,-0.04,0.18,0.42,-0.24,0,0.26,-0.26,0.81,0.31,0.5,3,0,3,12,0,12,0.25,0,0.25,1,0,1,0,0,0,248,7,241,2.04,3.18,-1.14,0.44,0.61,-0.17,2.01,2.14,-0.13,0.5,0.56,-0.06,3.63,1.33,2.3,0.48,0.55,-0.07,0.63,0.52,0.11,1.1,0,1.1,Tatsuya Kawajiri,Sean Soriano
1/4/2014,UFC Fight Night: Saffiedine vs Lim,"Singapore, Singapore",Kiichi Kunimoto,Luiz Dutra,Welterweight,Men,3,0,John Sharp,Red,KO/TKO,1,177,177,70,71,-1,71,,,1.01,,,Orthodox,Orthodox,170,170,0,5/1/1981,5/6/1982,32,31,1,44,43,1,18,13,5,7,6,1,2,1,1,2.57,2.17,0.4,12,10,2,23,18,5,0.52,0.56,-0.04,12,17,-5,23,25,-2,0.52,0.68,-0.16,0,0,0,0.75,0.5,0.25,0,0.4,-0.4,0.25,0.1,0.15,0.58,0.9,-0.32,0.41,0.1,0.31,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,57,0,57,1.87,3.92,-2.05,0.44,0.5,-0.06,3.92,4.8,-0.88,0.41,0.41,0,1.59,0,1.59,0.2,0,0.2,0.28,1,-0.72,0.3,0,0.3,Kiichi Kunimoto,Luiz Dutra
1/4/2014,UFC Fight Night: Saffiedine vs Lim,"Singapore, Singapore",Kyung Ho Kang,Shunichi Shimizu,Bantamweight,Men,3,0,Steve Perceval,Red,Submission,3,233,833,69,65,4,73,,,1.06,,,Orthodox,Orthodox,135,135,0,9/9/1987,1/31/1985,26,28,-2,37,40,-3,19,30,-11,11,18,-7,0,11,-11,1.73,1.67,0.06,65,2,63,94,6,88,0.69,0.33,0.36,144,5,139,175,15,160,0.82,0.33,0.49,0,0,0,0.9,0,0.9,0.01,0,0.01,0.07,1,-0.93,0.1,1,-0.9,0.01,0,0.01,0.87,0,0.87,2,0,2,2,6,-4,1,0,1,4,0,4,1,1,0,495,109,386,3.13,0.14,2.99,0.47,0.33,0.14,3.32,4.68,-1.36,0.54,0.3,0.24,1.97,0,1.97,0.5,0,0.5,0.68,0,0.68,0.8,0,0.8,Kyung Ho Kang,Shunichi Shimizu
1/4/2014,UFC Fight Night: Saffiedine vs Lim,"Singapore, Singapore",Max Holloway,Will Chope,Featherweight,Men,3,0,Leon Roberts,Red,KO/TKO,2,147,447,71,76,-5,69,,,0.97,,,Orthodox,Switch,145,145,0,12/4/1991,9/8/1990,22,23,-1,33,34,-1,27,34,-7,8,13,-5,0,0,0,3.38,2.62,0.76,74,33,41,139,121,18,0.53,0.27,0.26,79,34,45,145,122,23,0.54,0.28,0.26,2,0,2,0.78,0.69,0.09,0.18,0.06,0.12,0.02,0.24,-0.22,0.4,0.84,-0.44,0.55,0.15,0.4,0.04,0,0.04,0,0,0,0,5,-5,0,0,0,0,0,0,0,0,0,16,61,-45,7.2,4.43,2.77,0.48,0.27,0.21,4.74,9.93,-5.19,0.59,0.46,0.13,0.24,0,0.24,0.53,0,0.53,0.83,0,0.83,0.3,0,0.3,Max Holloway,Will Chope
1/4/2014,UFC Fight Night: Saffiedine vs Lim,"Singapore, Singapore",Katsunori Kikuno,Quinn Mulhern,Lightweight,Men,3,0,Steve Perceval,Red,Decision,3,300,900,68,75,-7,66,,,0.97,,,Orthodox,Orthodox,145,155,-10,10/31/1981,9/20/1984,32,29,3,43,40,3,24,18,6,8,4,4,2,0,2,3,4.5,-1.5,23,16,7,48,63,-15,0.48,0.25,0.23,73,24,49,104,71,33,0.7,0.34,0.36,0,0,0,0.69,0.68,0.01,0.21,0.18,0.03,0.08,0.12,-0.04,0.73,0.93,-0.2,0.13,0.06,0.07,0.13,0,0.13,3,0,3,4,9,-5,0.75,0,0.75,0,0,0,0,0,0,501,1,500,2.64,1.48,1.16,0.4,0.28,0.12,2.47,2.09,0.38,0.61,0.51,0.1,1.88,1.36,0.52,0.75,0.2,0.55,0.76,0.33,0.43,0.8,0,0.8,Katsunori Kikuno,Quinn Mulhern
1/4/2014,UFC Fight Night: Saffiedine vs Lim,"Singapore, Singapore",Royston Wee,Dave Galera,Bantamweight,Men,3,0,John Sharp,Red,Decision,3,300,900,67,71,-4,67,,,1,,,Orthodox,Orthodox,135,135,0,11/15/1986,1/12/1978,27,35,-8,38,47,-9,4,5,-1,1,1,0,0,0,0,4,5,-1,8,25,-17,12,36,-24,0.67,0.69,-0.02,84,89,-5,104,109,-5,0.81,0.82,-0.01,0,0,0,0.87,0.6,0.27,0,0.24,-0.24,0.12,0.16,-0.04,0,0.32,-0.32,0.12,0.2,-0.08,0.87,0.48,0.39,6,0,6,7,0,7,0.86,0,0.86,0,2,-2,0,1,-1,835,5,830,1.1,1.67,-0.57,0.6,0.69,-0.09,2.45,0.53,1.92,0.49,0.33,0.16,3.38,0,3.38,0.81,0,0.81,0,0.14,-0.14,0,2,-2,Royston Wee,Dave Galera
1/4/2014,UFC Fight Night: Saffiedine vs Lim,"Singapore, Singapore",Mairbek Taisumov,Tae Hyun Bang,Lightweight,Men,3,0,Leon Roberts,Red,Decision,3,300,900,69,69,0,73,71,2,1.06,1.03,0.03,Orthodox,Switch,155,155,0,8/8/1988,4/15/1983,25,30,-5,36,42,-6,27,18,9,6,10,-4,0,0,0,4.5,1.8,2.7,33,26,7,87,66,21,0.38,0.39,-0.01,48,31,17,107,71,36,0.45,0.44,0.01,0,0,0,0.3,0.73,-0.43,0.3,0.15,0.15,0.39,0.11,0.28,0.66,0.76,-0.1,0.21,0.07,0.14,0.12,0.15,-0.03,5,0,5,7,1,6,0.71,0,0.71,0,0,0,0,0,0,229,8,221,2.98,2.72,0.26,0.39,0.38,0.01,3.03,2.07,0.96,0.64,0.66,-0.02,1.34,0.49,0.85,0.63,0.33,0.3,0.88,0.57,0.31,0,0.5,-0.5,Mairbek Taisumov,Tae Hyun Bang
1/4/2014,UFC Fight Night: Saffiedine vs Lim,"Singapore, Singapore",Dustin Kimura,Jon Delos Reyes,Bantamweight,Men,3,0,Steve Perceval,Red,Submission,1,133,133,67,66,1,71,67,4,1.06,1.02,0.04,Orthodox,Orthodox,135,125,10,5/21/1989,8/19/1987,24,26,-2,36,37,-1,11,8,3,3,5,-2,0,0,0,3.67,1.6,2.07,1,9,-8,9,29,-20,0.11,0.31,-0.2,1,10,-9,9,32,-23,0.11,0.31,-0.2,0,1,-1,1,1,0,0,0,0,0,0,0,1,0.44,0.56,0,0.22,-0.22,0,0.33,-0.33,0,1,-1,1,1,0,0,1,-1,1,0,1,0,0,0,0,94,-94,1.33,2.99,-1.66,0.21,0.38,-0.17,3.82,4.14,-0.32,0.51,0.51,0,0.93,3.2,-2.27,0.37,0.83,-0.46,0.5,0.55,-0.05,2.2,1.9,0.3,Dustin Kimura,Jon Delos Reyes
1/4/2014,UFC Fight Night: Saffiedine vs Lim,"Singapore, Singapore",Leandro Issa,Russell Doane,Bantamweight,Men,3,0,John Sharp,Blue,Submission,2,299,599,67,67,0,69,70,-1,1.03,1.04,-0.01,Orthodox,Orthodox,135,135,0,9/19/1983,8/13/1986,30,27,3,41,38,3,13,15,-2,6,8,-2,0,0,0,2.17,1.88,0.29,17,43,-26,54,86,-32,0.31,0.5,-0.19,18,83,-65,55,130,-75,0.33,0.64,-0.31,0,0,0,0.7,0.88,-0.18,0.05,0.06,-0.01,0.23,0.04,0.19,0.7,0.3,0.4,0.11,0.23,-0.12,0.17,0.46,-0.29,2,0,2,10,0,10,0.2,0,0.2,1,1,0,0,1,-1,90,254,-164,2.08,1.75,0.33,0.37,0.4,-0.03,3.17,1.68,1.49,0.58,0.53,0.05,2.38,2.11,0.27,0.22,0.45,-0.23,0.5,0.52,-0.02,1.2,0.8,0.4,Leandro Issa,Russell Doane
